연번,업종명,업소명,소재지도로명,소재지지번,업태명
1,일반음식점,캔버스(CANBUS)카페 영대점,경상북도 경산시 대학로 285 (대동),경상북도 경산시 대동 170-7 ,까페
2,일반음식점,니모,경상북도 경산시 백양로35길 13 (사동),경상북도 경산시 사동 667-19 ,까페
3,일반음식점,켄고커피위크,경상북도 경산시 청운로 5 (대동),경상북도 경산시 대동 166-4 ,까페
4,일반음식점,민속레스카페,경상북도 경산시 중앙로18길 24 (삼북동),경상북도 경산시 삼북동 266-16 ,까페
5,일반음식점,카페리우,경상북도 경산시 진량읍 공단1로 28-1,경상북도 경산시 진량읍 신상리 373-4 ,까페
6,휴게음식점,공차 경산하양점,"경상북도 경산시 하양읍 하양로 35, 105동 123호 (하양3차우방타운)",경상북도 경산시 하양읍 금락리 130-8 하양우방3차타운 105/123호 ,커피숍
7,휴게음식점,삼성커피숍,경상북도 경산시 자인면 설총로 887,경상북도 경산시 자인면 동부리 253-4 ,커피숍
8,휴게음식점,다빈치,"경상북도 경산시 강변동로 278, 401동 1호 (대평동,(4층))",경상북도 경산시 대평동 439-7 (4층) 401동 1호,커피숍
9,휴게음식점,커피센티멘탈,"경상북도 경산시 진량읍 대구대로 252-1, 1,2층","경상북도 경산시 진량읍 내리리 94-7 1,2층 ",커피숍
10,휴게음식점,마시그래이삼풍점,경상북도 경산시 삼풍로 12 (삼풍동),경상북도 경산시 삼풍동 509-2 ,커피숍
11,휴게음식점,에그만나다,경상북도 경산시 중앙로 47 (중방동),경상북도 경산시 중방동 327-5 ,커피숍
12,휴게음식점,커피앤,경상북도 경산시 들뫼길31길 31 (유곡동),경상북도 경산시 유곡동 295-7 ,커피숍
13,휴게음식점,아틀리에빈 영남대점,"경상북도 경산시 대학로 279, 1, 2층 (대동)","경상북도 경산시 대동 163-4 (1,2층) ",커피숍
14,휴게음식점,코모커피,경상북도 경산시 경산로16길 2 (옥곡동),경상북도 경산시 옥곡동 816-1 ,커피숍
15,휴게음식점,로뎀,"경상북도 경산시 강변동로 358, 3층 (대평동)",경상북도 경산시 대평동 90-2 (3층) ,커피숍
16,휴게음식점,커피특별시(본점),경상북도 경산시 경안로 204 (중방동),경상북도 경산시 중방동 863-8 ,커피숍
17,휴게음식점,카페아베크,경상북도 경산시 하양읍 가마실길 50 (1층(열람실)),경상북도 경산시 하양읍 부호리 33 1층(열람실) ,커피숍
18,휴게음식점,더리터 영대점,경상북도 경산시 청운로 13-2 (대동),경상북도 경산시 대동 154-20 ,커피숍
19,휴게음식점,허브에스,"경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 학생회관",경상북도 경산시 하양읍 금락리 산 35 대구가톨릭대학교 학생회관 ,커피숍
20,휴게음식점,몬스터커피 대구대점,경상북도 경산시 진량읍 대구대로 240,경상북도 경산시 진량읍 내리리 108-5 ,커피숍
21,휴게음식점,파스쿠찌경산하양점,"경상북도 경산시 하양읍 하양로 52, 1,2층","경상북도 경산시 하양읍 금락리 116-358 1,2층 ",커피숍
22,휴게음식점,필그림,경상북도 경산시 진량읍 공단로 570,경상북도 경산시 진량읍 봉회리 105 ,커피숍
23,휴게음식점,GS25 경산옥산점,경상북도 경산시 경산로44길 11 (옥산동),경상북도 경산시 옥산동 731-1 ,커피숍
24,휴게음식점,팬도로시 한의대점,"경상북도 경산시 한의대로 1, M동 3층 (유곡동, 대구한의대 학술정보관)",경상북도 경산시 유곡동 290-1 대구한의대 M동 ,커피숍
25,휴게음식점,베로에스프레소,경상북도 경산시 성암로 45 (옥산동),경상북도 경산시 옥산동 863-6 ,커피숍
26,휴게음식점,카페리코 계양점,경상북도 경산시 계양로35길 2 (계양동),경상북도 경산시 계양동 117-4 ,커피숍
27,휴게음식점,파가니니,경상북도 경산시 진량읍 대구대로 201,경상북도 경산시 진량읍 내리리 15 ,커피숍
